공연 ID,공연 요약
PF258969,"∙ 하루 동안만 펼쳐지는 클래식의 향연이에요.\n∙ 박민희와 이석민 등, 뛰어난 연주자들이 마음을 울리는 선율을 선사해요.\n∙ 모든 연령이 함께 즐길 수 있는, 만 4세 이상 관람가 공연이에요.\n∙ 서양음악의 깊이를 느낄 수 있는 특별한 시간이 될 거예요.\n∙ 짧지만 강렬한 감동을 전달하는 하루가 될 거예요."
PF263482,∙ 하루 동안만 펼쳐지는 특별한 뮤지컬이에요.\n∙ 어린이부터 어른까지 모두 즐길 수 있는 가족 친화적 공연이랍니다.\n∙ 무대 위의 감동적인 연기와 노래가 관객의 마음을 사로잡아요.\n∙ 한 번의 공연으로 오래도록 기억될 소중한 추억을 만들어 줄 거예요.\n∙ 장르의 매력을 극대화하는 뛰어난 출연진의 활약이 돋보여요.
PF260982,∙ 봄날의 특별한 감성을 담은 뮤지컬로 마음을 따뜻하게 해줄 거예요.\n∙ 어린이부터 어른까지 모두 즐길 수 있는 공연이에요.\n∙ 관람 등급이 48개월 이상이라 가족 단위 관람객에게 안성맞춤이에요.\n∙ 뮤지컬 특유의 화려한 무대와 감동적인 연기가 돋보여요.\n∙ 이야기와 음악이 어우러져 감성적인 시간을 선사할 거예요.
PF261694,"∙ 2025년 여름, 마음을 울리는 뮤지컬이 여러분을 기다리고 있어요.\n∙ 아름다운 선율과 강렬한 연기가 어우러져 감동을 선사할 거예요.\n∙ 가족 단위 관람객도 편하게 즐길 수 있는 공연이에요.\n∙ 잊지 못할 주말을 만들어 줄 특별한 경험이 될 거예요.\n∙ 장르의 진수를 보여주는 명품 뮤지컬, 절대 놓치지 마세요!"
PF263949,"∙ 뮤지컬의 마법 같은 세계로 초대할게요, 마음을 울리는 무대가 기다리고 있어요.\n∙ 장미화, 주찬미, 김성호 등 뛰어난 배우들이 감성 가득한 연기를 선보일 거예요.\n∙ 모든 세대가 함께 즐길 수 있는 관람 등급으로 준비되어 있어요.\n∙ 봄에서 초여름으로 넘어가는 화창한 시즌에 딱 맞는 공연이 될 거예요.\n∙ 감동과 웃음이 함께하는 시간, 잊지 못할 추억을 만들어 드릴게요."
PF263390,"∙ 잔잔한 감동과 깊은 여운을 남기는 뮤지컬이에요.\n∙ 공예림, 전원희, 정세리 등 뛰어난 배우들이 열연을 펼쳐요.\n∙ 어린이부터 어른까지 모두가 함께 볼 수 있는 공연이에요.\n∙ 무대와 음악이 하나가 되어 관객의 마음을 사로잡아요.\n∙ 여름밤의 특별한 추억을 만들어 줄 시간이 될 거예요."
PF261271,"∙ 클래식 음악의 깊이를 느낄 수 있는 하루가 될 거예요.\n∙ 이일세, 이명한, 김충만 등 유명 연주자들이 멋진 하모니를 선사해요.\n∙ 감미로운 멜로디와 탁월한 연주가 마음을 울릴 거예요.\n∙ 어린이부터 어른까지 모든 세대가 함께 즐길 수 있는 공연이에요.\n∙ 한 번의 공연으로 오래도록 기억될 특별한 경험을 선물해 드릴 거예요."
PF263344,"∙ 클래식 음악의 풍부한 감성이 느껴지는 하루가 될 거예요.  \n∙ 브루노 들르프레르 등 유명 연주자들의 환상적인 협연을 감상할 수 있어요.  \n∙ '타이타닉', '라 비앙 로즈' 등 잘 알려진 곡들이 새롭게 편곡되어 연주돼요.  \n∙ 첼로, 블루스, 룸바 등 다양한 음악 장르가 조화롭게 어우러져요.  \n∙ 감미로운 멜로디와 함께 여유로운 저녁 시간을 보내기에 딱 좋아요."
PF262026,∙ 대중음악의 진수를 느낄 수 있는 무대가 펼쳐질 거예요.  \n∙ 아름다운 멜로디와 감성적인 가사가 어우러져 마음을 울려요.  \n∙ 만 7세 이상이라 가족 단위 관람객에게도 적합해요.  \n∙ 이틀 동안만 열리는 특별한 기회이니 놓치지 마세요.  \n∙ 음악으로 여러분의 일상에 작은 변화를 가져다 줄 거예요.
PF263339,"∙ 한날 한시에 펼쳐지는 다채로운 장르의 공연이에요.\n∙ 박기환, 신승아, 디에고 크로베티 등 다양한 출연진이 매력을 더해줘요.\n∙ 모든 세대가 함께 즐길 수 있는 만 7세 이상 관람가로 준비되었어요.\n∙ 각기 다른 배경을 가진 아티스트들의 융합이 새로운 감동을 선사해요.\n∙ 하루 동안만 열리는 특별한 기회를 놓치지 마세요."
